"","X","Y","Z"
"Lateral_13-Anterior_extent_of_the_nasal-premaxilla_suture",65.5484227273606,-31.7223472147633,17.7589857035239
"Left_Lateral_1-Intersection_of_anterior_margin_of_I3_with_premaxilla",73.9946756973806,-41.9848372213939,27.7525479617571
"Left_Lateral_10-Posterior_point_of_the_external_auditory_meatus",-5.27016291781738,-16.4381535235705,71.1746464424168
"Left_Lateral_11-Tip_of_the_jugular_process",-20.9020918731529,-17.9123957019166,70.7229165221592
"Left_Lateral_14-Tip_of_the_postmandibular_process",38.3239266505488,-14.1306870927638,49.1119322854411
"Left_Lateral_2-Intersection_of_anterior_margin_of_canine_with_maxilla",71.2763578483747,-38.5301031513838,31.4599015403185
"Left_Lateral_3-Intersection_of_posterior_margin_of_canine_with_maxilla",65.7148512145396,-38.0606742502366,35.9465458408351
"Left_Lateral_4-Posterior_end_of_molar_row",32.8949144694487,-33.7382185883737,46.7154498002262
"Left_Lateral_5-Midpoint_of_the_infraorbital_foramen",50.4655201586843,-27.5496467923064,45.7943073459282
"Left_Lateral_6-Tip_of_the_postorbital_process",37.2777303862304,-9.34087544142678,34.7744442280074
"Left_Lateral_7-Posterior_point_of_the_optic_foramen_on_the_orbitosphenoid",19.0541778151513,-24.4799148325053,43.1401283255887
"Left_Lateral_8-Tip_of_the_most_anterior_of_2_ventral_squamosal_projections",12.1607239701134,-19.63013602572,67.7664108764026
"Left_Lateral_9-Tip_of_the_hamulus_on_the_pterygoid_process",1.00571815832512,-31.9279766715808,58.2964904098413
"Right_Lateral_1-Intersection_of_anterior_margin_of_I3_with_premaxilla",70.6938909818602,-48.0038205890827,19.3160223085307
"Right_Lateral_10-Posterior_point_of_the_external_auditory_meatus",-20.5235773329428,-42.211454969164,37.9543466144069
"Right_Lateral_11-Tip_of_the_jugular_process",-31.5347533304929,-35.1892525702802,48.8195716367218
"Right_Lateral_14-Tip_of_the_postmandibular_process",20.8324169823307,-41.2620804214692,13.5488549729777
"Right_Lateral_2-Intersection_of_anterior_margin_of_canine_with_maxilla",64.9318751909969,-48.5298110412134,16.4554755395815
"Right_Lateral_3-Intersection_of_posterior_margin_of_canine_with_maxilla",58.7385514812182,-50.6036773988624,19.2348236359796
"Right_Lateral_4-Posterior_end_of_molar_row",26.7003039139302,-44.400455283402,32.0630304466831
"Right_Lateral_5-Midpoint_of_the_infraorbital_foramen",37.7284104268644,-47.4397794237869,17.1463620249576
"Right_Lateral_6-Tip_of_the_postorbital_process",25.6421683083812,-26.431039982051,11.671526974524
"Right_Lateral_7-Posterior_point_of_the_optic_foramen_on_the_orbitosphenoid",15.3503209782641,-31.8716654942182,33.6972240897243
"Right_Lateral_8-Tip_of_the_most_anterior_of_2_ventral_squamosal_projections",-5.42976210413614,-46.9553018272527,31.2803836989749
"Right_Lateral_9-Tip_of_the_hamulus_on_the_pterygoid_process",-3.43223963863916,-39.7842427782461,49.0101752791482
"Ventral_1-Juncture_between_incisors_on_the_premaxilla",72.0593513590417,-49.2684985446759,26.4988064865015
"Ventral_10-Posterior_edge_of_the_jugular_foramen",-27.6344494356983,-29.852579947986,51.1352259843259
"Ventral_12-Anterior_point_of_the_foramen_magnum",-29.0876809783574,-25.6116076224198,60.3054857570876
"Ventral_13-Posterior_point_of_incisive_foramen",66.3973683417209,-45.1526992110525,29.0164818377901
"Ventral_14-Anterior_edge_of_P4",51.3976379710484,-38.5860167171048,45.7076555817343
"Ventral_15-Posterior_edge_of_P4",41.3379377731041,-35.4455204101539,53.3601976199743
"Ventral_16-Point_of_max_external_curvature_of_M1_at_protocone",32.5778347882379,-36.6819140445212,49.4312265816798
"Ventral_18-Tip_of_ventral_squamosal_projection",3.6807930737843,-26.0281216428264,62.6977684330055
"Ventral_19-Anterior_point_of_external_auditory_meatus",-1.29539204223943,-16.7650126481352,68.2540508403562
"Ventral_2-Posterior_point_of_incisive_foramen",64.5979685626794,-47.1970495751255,25.9605569731052
"Ventral_20-Posterior_edge_of_the_jugular_foramen",-21.4506431448839,-20.0130250125601,63.4330024619938
"Ventral_3-Anterior_edge_of_P4",42.5112634325475,-53.0418437524862,28.1593716526801
"Ventral_4-Posterior_edge_of_P4",30.0224830550459,-53.8631432075559,29.7575095490244
"Ventral_5-Point_of_max_external_curvature_of_M1_at_protocone",25.6090858072259,-45.52575831957,35.0075495062817
"Ventral_6-Posterior_junction_of_left_and_right_palatine",15.5619878737283,-36.5429486607128,45.4687815491799
"Ventral_8-Tip_of_ventral_squamosal_projection",-6.07014725460616,-44.1988977864485,43.1164469265179
"Ventral_9-Anterior_point_of_external_auditory_meatus",-16.0146534400531,-42.0741028665457,37.6520242796486
