"","V1","V2","V3"
"Lateral_13-Anterior_extent_of_the_nasal-premaxilla_suture",-30.8119303887164,-15.8528225942975,36.6928736835483
"Left_Lateral_1-Intersection_of_anterior_margin_of_I3_with_premaxilla",-38.6186228666902,-26.675679958931,43.2512053099001
"Left_Lateral_10-Posterior_point_of_the_external_auditory_meatus",43.4131809907944,-48.9490886829391,33.387726133877
"Left_Lateral_11-Tip_of_the_jugular_process",58.0952284946522,-46.4858995133952,39.5907338364968
"Left_Lateral_14-Tip_of_the_postmandibular_process",4.21536943533699,-36.1564714928579,25.1612383849638
"Left_Lateral_2-Intersection_of_anterior_margin_of_canine_with_maxilla",-35.5852039883267,-30.0755139722286,40.7240769006543
"Left_Lateral_3-Intersection_of_posterior_margin_of_canine_with_maxilla",-30.2496503834253,-32.2815816531441,42.687204654147
"Left_Lateral_4-Posterior_end_of_molar_row",3.03479380640298,-37.2513596653879,41.5243654038795
"Left_Lateral_5-Midpoint_of_the_infraorbital_foramen",-10.9959668501205,-36.0149716132049,33.9499250633777
"Left_Lateral_6-Tip_of_the_postorbital_process",2.76039302365927,-21.6371570371171,23.8214493023837
"Left_Lateral_7-Posterior_point_of_the_optic_foramen_on_the_orbitosphenoid",14.6345656916603,-29.1709165956037,40.3606378807815
"Left_Lateral_8-Tip_of_the_most_anterior_of_2_ventral_squamosal_projections",26.784097488682,-47.8476584192103,32.225428235051
"Left_Lateral_9-Tip_of_the_hamulus_on_the_pterygoid_process",30.6864061650253,-41.7446698078221,47.3303023165076
"Right_Lateral_1-Intersection_of_anterior_margin_of_I3_with_premaxilla",-38.8762400681841,-21.5567009331824,46.7542760173181
"Right_Lateral_10-Posterior_point_of_the_external_auditory_meatus",45.0532369119741,-20.0794337169259,65.592970580732
"Right_Lateral_11-Tip_of_the_jugular_process",58.8510985692403,-27.5637425033088,60.7910583199614
"Right_Lateral_14-Tip_of_the_postmandibular_process",5.90504174797818,-5.63175440406704,54.8348319765736
"Right_Lateral_2-Intersection_of_anterior_margin_of_canine_with_maxilla",-35.5365484682086,-19.5703919291486,50.2265494538332
"Right_Lateral_3-Intersection_of_posterior_margin_of_canine_with_maxilla",-30.9026802176615,-21.1354293463746,52.3947149133081
"Right_Lateral_4-Posterior_end_of_molar_row",3.14058912041678,-24.444599933839,54.4288667483209
"Right_Lateral_5-Midpoint_of_the_infraorbital_foramen",-9.88222521518755,-14.2129096006289,56.2592602909023
"Right_Lateral_6-Tip_of_the_postorbital_process",4.02734563173625,-5.32947947711448,41.6590845912996
"Right_Lateral_7-Posterior_point_of_the_optic_foramen_on_the_orbitosphenoid",14.5368728517095,-22.4446495499461,47.2689579492042
"Right_Lateral_8-Tip_of_the_most_anterior_of_2_ventral_squamosal_projections",28.5359097939395,-19.001875651121,65.0709036200114
"Right_Lateral_9-Tip_of_the_hamulus_on_the_pterygoid_process",29.4474811466604,-33.8215210658567,55.1379153227081
"Ventral_1-Juncture_between_incisors_on_the_premaxilla",-39.1421599696644,-29.0762612427374,48.1847634131843
"Ventral_10-Posterior_edge_of_the_jugular_foramen",56.3396991245222,-30.3919286381738,55.5177013294979
"Ventral_12-Anterior_point_of_the_foramen_magnum",59.9448081714262,-37.7205336788271,51.4999166378399
"Ventral_13-Posterior_point_of_incisive_foramen",-33.5944114670332,-29.0897221974024,45.2467909663319
"Ventral_14-Anterior_edge_of_P4",-13.7708514139436,-40.7871396545988,42.1157596623779
"Ventral_15-Posterior_edge_of_P4",-3.3452324392578,-44.8161645408481,40.9313048659715
"Ventral_16-Point_of_max_external_curvature_of_M1_at_protocone",3.41725904312078,-38.8675716954114,42.0754786258005
"Ventral_18-Tip_of_ventral_squamosal_projection",29.2656208948911,-45.9178242408548,41.2993603109752
"Ventral_19-Anterior_point_of_external_auditory_meatus",39.4212930895237,-47.1728867667945,35.8088112746743
"Ventral_2-Posterior_point_of_incisive_foramen",-33.5107563576739,-26.4943927692165,48.074018486135
"Ventral_20-Posterior_edge_of_the_jugular_foramen",55.7068733805448,-41.1692886315069,43.2186267221329
"Ventral_3-Anterior_edge_of_P4",-13.0893386173238,-25.1560884370683,59.8354373509961
"Ventral_4-Posterior_edge_of_P4",-2.57956728027551,-24.6025196185753,62.953283371164
"Ventral_5-Point_of_max_external_curvature_of_M1_at_protocone",3.99843674472748,-26.390312214354,56.8469329989747
"Ventral_6-Posterior_junction_of_left_and_right_palatine",17.1867000880115,-33.5781081654086,49.9531317816701
"Ventral_8-Tip_of_ventral_squamosal_projection",30.2399004738052,-27.7804811363735,62.4407312567427
"Ventral_9-Anterior_point_of_external_auditory_meatus",40.7826689253009,-23.2590634735968,63.3971053187146
