"","V1","V2","V3"
"Lateral_13-Anterior_extent_of_the_nasal-premaxilla_suture",-28.1712146008099,-17.4646862219271,38.1409099347294
"Left_Lateral_1-Intersection_of_anterior_margin_of_I3_with_premaxilla",-36.0095700043589,-28.8407928851056,41.3512440489644
"Left_Lateral_10-Posterior_point_of_the_external_auditory_meatus",40.4546616902358,-47.2899712840343,35.2677983647475
"Left_Lateral_11-Tip_of_the_jugular_process",53.7498181457376,-45.4041140840909,40.6207962138758
"Left_Lateral_14-Tip_of_the_postmandibular_process",3.40890444672264,-35.7673375899959,24.9149909249986
"Left_Lateral_2-Intersection_of_anterior_margin_of_canine_with_maxilla",-32.1768943356207,-30.3682506361517,38.1928894034085
"Left_Lateral_3-Intersection_of_posterior_margin_of_canine_with_maxilla",-27.5885827137454,-32.4175591764328,39.4601965816887
"Left_Lateral_4-Posterior_end_of_molar_row",3.68135937127099,-36.6653319834043,42.9304703972254
"Left_Lateral_5-Midpoint_of_the_infraorbital_foramen",-10.8557794289644,-36.1598426409235,33.8930392638179
"Left_Lateral_6-Tip_of_the_postorbital_process",3.43614800055787,-22.5833634171696,25.9861340145825
"Left_Lateral_7-Posterior_point_of_the_optic_foramen_on_the_orbitosphenoid",14.7337354319954,-31.0890500710971,41.1441090448375
"Left_Lateral_8-Tip_of_the_most_anterior_of_2_ventral_squamosal_projections",24.7916208554311,-46.8814478414486,33.2663487529265
"Left_Lateral_9-Tip_of_the_hamulus_on_the_pterygoid_process",28.0599906189064,-40.5187874331596,48.3668226480732
"Right_Lateral_1-Intersection_of_anterior_margin_of_I3_with_premaxilla",-35.9760128997587,-22.010778031079,50.0091078818643
"Right_Lateral_10-Posterior_point_of_the_external_auditory_meatus",42.6906740284039,-21.2069888556378,63.5453933315001
"Right_Lateral_11-Tip_of_the_jugular_process",55.4195784435153,-26.37720092486,60.0247255307323
"Right_Lateral_14-Tip_of_the_postmandibular_process",4.35205235972869,-9.15828533692516,56.6386802364341
"Right_Lateral_2-Intersection_of_anterior_margin_of_canine_with_maxilla",-31.5051201529716,-20.0573584905651,50.9103753451193
"Right_Lateral_3-Intersection_of_posterior_margin_of_canine_with_maxilla",-26.4325067364284,-20.4453024312538,53.3712033076331
"Right_Lateral_4-Posterior_end_of_molar_row",4.09162665311742,-25.882877301617,55.1538588684561
"Right_Lateral_5-Midpoint_of_the_infraorbital_foramen",-8.87524516041664,-15.5531371869206,55.4647177181958
"Right_Lateral_6-Tip_of_the_postorbital_process",3.84064579633973,-6.4980238348758,43.5561616129453
"Right_Lateral_7-Posterior_point_of_the_optic_foramen_on_the_orbitosphenoid",14.8342102695784,-24.3761896594723,48.1098297397774
"Right_Lateral_8-Tip_of_the_most_anterior_of_2_ventral_squamosal_projections",26.9235523970511,-18.7607118792087,63.30659690385
"Right_Lateral_9-Tip_of_the_hamulus_on_the_pterygoid_process",28.7500632671685,-33.073913356256,56.4922123511353
"Ventral_1-Juncture_between_incisors_on_the_premaxilla",-36.4096019315024,-27.8704158405413,48.4755826368912
"Ventral_10-Posterior_edge_of_the_jugular_foramen",52.9521354349353,-30.8487623715793,54.061415731101
"Ventral_12-Anterior_point_of_the_foramen_magnum",55.9414971773031,-37.1817114525441,50.596022884758
"Ventral_13-Posterior_point_of_incisive_foramen",-29.874528755816,-28.5832715632654,45.6288255832883
"Ventral_14-Anterior_edge_of_P4",-12.8199709349299,-39.7835265497583,43.0361190182353
"Ventral_15-Posterior_edge_of_P4",-2.88912828069096,-44.0967959520388,41.2486419367255
"Ventral_16-Point_of_max_external_curvature_of_M1_at_protocone",4.25583115018718,-38.5020665496048,43.699647764515
"Ventral_18-Tip_of_ventral_squamosal_projection",28.2883898968239,-44.7702689560247,41.2932537117427
"Ventral_19-Anterior_point_of_external_auditory_meatus",36.2957401228892,-46.0125796210848,35.6676254029071
"Ventral_2-Posterior_point_of_incisive_foramen",-29.602702660113,-25.6741437199013,48.6841480439949
"Ventral_20-Posterior_edge_of_the_jugular_foramen",52.3627689136122,-39.9889478030478,43.7812742735111
"Ventral_3-Anterior_edge_of_P4",-10.5092018430722,-23.1151325544226,58.2895570010228
"Ventral_4-Posterior_edge_of_P4",-3.02752913717768,-26.7717650458565,56.3310467990904
"Ventral_5-Point_of_max_external_curvature_of_M1_at_protocone",4.57772532657977,-26.6520201505044,57.0914756624679
"Ventral_6-Posterior_junction_of_left_and_right_palatine",15.7751283991537,-32.7624392972057,49.4311351036598
"Ventral_8-Tip_of_ventral_squamosal_projection",29.5742309737542,-26.8682210638534,61.3911152784116
"Ventral_9-Anterior_point_of_external_auditory_meatus",38.4149852194267,-22.8731951745557,61.7002120090834
