"","V1","V2","V3"
"Lateral_13-Anterior_extent_of_the_nasal-premaxilla_suture",-30.2568192916532,-17.7284202081702,38.0710677692161
"Left_Lateral_1-Intersection_of_anterior_margin_of_I3_with_premaxilla",-37.4221888903054,-28.4596070559047,41.9360590471593
"Left_Lateral_10-Posterior_point_of_the_external_auditory_meatus",41.7066850054887,-48.725344867991,33.086274468282
"Left_Lateral_11-Tip_of_the_jugular_process",57.3461629660705,-46.9432217141152,40.2512699340648
"Left_Lateral_14-Tip_of_the_postmandibular_process",2.19223553084124,-36.8202615236994,23.9272295895915
"Left_Lateral_2-Intersection_of_anterior_margin_of_canine_with_maxilla",-34.1285734798903,-30.824846359146,38.3880531952189
"Left_Lateral_3-Intersection_of_posterior_margin_of_canine_with_maxilla",-29.5446176428568,-33.4630316714198,39.372097217406
"Left_Lateral_4-Posterior_end_of_molar_row",2.98022379827771,-37.1664774905349,40.9810228339351
"Left_Lateral_5-Midpoint_of_the_infraorbital_foramen",-10.9922075626988,-36.2021991343476,32.0384260263752
"Left_Lateral_6-Tip_of_the_postorbital_process",1.62375606059858,-22.6489910574175,26.16623841147
"Left_Lateral_7-Posterior_point_of_the_optic_foramen_on_the_orbitosphenoid",14.9083496441561,-29.9749920060221,39.6262861367469
"Left_Lateral_8-Tip_of_the_most_anterior_of_2_ventral_squamosal_projections",26.326772360642,-47.4567801924735,31.9224770035059
"Left_Lateral_9-Tip_of_the_hamulus_on_the_pterygoid_process",29.1283799429889,-41.5574810347205,48.021059173014
"Right_Lateral_1-Intersection_of_anterior_margin_of_I3_with_premaxilla",-37.0043263961107,-22.1770025775176,49.0223825734665
"Right_Lateral_10-Posterior_point_of_the_external_auditory_meatus",43.6432984459988,-19.9632839361128,64.9581934549348
"Right_Lateral_11-Tip_of_the_jugular_process",58.5492016539847,-28.2932423613196,60.7203500742094
"Right_Lateral_14-Tip_of_the_postmandibular_process",3.66717382143351,-7.37956481644164,56.3703749697107
"Right_Lateral_2-Intersection_of_anterior_margin_of_canine_with_maxilla",-33.7536042998115,-20.5067341990642,52.0357403370607
"Right_Lateral_3-Intersection_of_posterior_margin_of_canine_with_maxilla",-28.7612216454412,-20.7526648838631,54.3359094430751
"Right_Lateral_4-Posterior_end_of_molar_row",3.76924672115521,-24.3425607869892,55.418828360684
"Right_Lateral_5-Midpoint_of_the_infraorbital_foramen",-9.66713514966285,-14.415556062194,56.2684154851786
"Right_Lateral_6-Tip_of_the_postorbital_process",2.6269222224682,-6.30713915474834,42.1612311573499
"Right_Lateral_7-Posterior_point_of_the_optic_foramen_on_the_orbitosphenoid",14.8085880336981,-22.8798269907819,47.675220655724
"Right_Lateral_8-Tip_of_the_most_anterior_of_2_ventral_squamosal_projections",28.1056254529176,-18.1121599880228,63.8177988711357
"Right_Lateral_9-Tip_of_the_hamulus_on_the_pterygoid_process",29.2005984519744,-33.2833645994414,57.9092911386363
"Ventral_1-Juncture_between_incisors_on_the_premaxilla",-37.5321290377046,-28.4251417280083,48.4225456405126
"Ventral_10-Posterior_edge_of_the_jugular_foramen",55.6354543504946,-31.1248744132551,55.7473721066135
"Ventral_12-Anterior_point_of_the_foramen_magnum",58.6569607501627,-38.6082968154345,51.6391592791513
"Ventral_13-Posterior_point_of_incisive_foramen",-31.7840155619454,-28.0185638237902,45.363131218358
"Ventral_14-Anterior_edge_of_P4",-13.1967214848871,-39.8692035537623,41.5728194023423
"Ventral_15-Posterior_edge_of_P4",-3.22467766910873,-43.5425363480114,39.8251270334944
"Ventral_16-Point_of_max_external_curvature_of_M1_at_protocone",4.11397866494977,-38.4582353603611,42.2160548921109
"Ventral_18-Tip_of_ventral_squamosal_projection",29.0877362413415,-45.099511274774,40.6834034032164
"Ventral_19-Anterior_point_of_external_auditory_meatus",37.5848849341531,-47.2486207778693,35.7794580253492
"Ventral_2-Posterior_point_of_incisive_foramen",-31.4876340216221,-25.646908464933,48.210118194336
"Ventral_20-Posterior_edge_of_the_jugular_foramen",55.1164265797631,-41.4549749641586,43.9611096031659
"Ventral_3-Anterior_edge_of_P4",-12.0306035007441,-23.8364115232369,59.2084712118647
"Ventral_4-Posterior_edge_of_P4",-1.60347113899289,-23.2226738091826,62.4470564026566
"Ventral_5-Point_of_max_external_curvature_of_M1_at_protocone",4.93168963138804,-25.2438830319077,56.4562529838463
"Ventral_6-Posterior_junction_of_left_and_right_palatine",16.0137258042383,-32.530989729398,49.545622923958
"Ventral_8-Tip_of_ventral_squamosal_projection",30.3063672035491,-26.3296078560064,61.4100834987558
"Ventral_9-Anterior_point_of_external_auditory_meatus",39.2929873147506,-22.161378072853,63.5566281160414
